Source,Harga lama,Harga baru,Judul,No. ISBN,Penerbit,Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://www.bukukita.com/Majalah/Testing/148732-Majalah-Animal-Minds.html,,Rp 2.100,Majalah Animal Minds,-,Mega Andalan Press ,Januari - 2017,240,400 gr,Soft Cover,14x23mm,Testing,-,Indonesia ··
https://www.bukukita.com/Produk-lainnya/Membership/167329-Keanggotaan-Investasi-Reseller-Bukukita.html,Rp 250.000,Rp 99.000,,,,Februari - 2021,-,1 gr,-,-,Membership,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Remaja/169451-Pre-Order-Seluas-Langit-Biru-by-Sitta-Karina.html,Rp 160.000,Rp 136.000,Seluas Langit Biru by Sitta Karina (masih ada ttd ) ,97862354950261,Literati-books ,Oktober - 2022,532,400 gr,Soft Cover,19x13mm,Remaja,Tanda Tangan Asli Sitta Karina,Indonesia ··
https://www.bukukita.com/Inspirasi-dan-Spiritual/Entrepreneurship/103209-MBS-:-Money-&-Business-Skills.html,Rp 85.700,Rp 72.845,MBS : Money & Business Skills,97860219729,W & G Wealth & Grow ,Mei - 2012,152,500 gr,soft cover,-,Entrepreneurship,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/135011-Renungan-Sufistik:-Renungan-Penentram-Hati.html,Rp 39.000,Rp 33.150,Renungan Sufistik: Renungan Penentram Hati,9786029785319,Oncor Semesta Publisher ,2012,-,100 gr,Soft Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Drama/155261-Laut-Bercerita.html,Rp 115.000,Rp 103.500,Laut Bercerita,9786024246945,Kpg ,Desember - 2017,400,350 gr,Soft Cover,-,Drama,-,Indonesia ·
https://www.bukukita.com/Masakan-dan-Makanan/Resep-Masakan/106605-Aneka-Olahan-Bebek.html,Rp 42.500,Rp 36.125,"Aneka Olahan Bebek (Enak, Renyah & Gurih) BK",9786021804728,IKHLAS MEDIA ,September - 2012,-,30 gr,Soft Cover,-,Resep Masakan,-,Indonesia ··
https://www.bukukita.com/Agama/Islam/162629-Aisyah-Ibu-dan-Guru-Ummat-Muslim-Hard-Cover.html,Rp 100.000,Rp 85.000,Aisyah Ibu dan Guru Ummat Muslim - Hard Cover,9786021683378,Tatban ,Oktober - 2017,-,500 gr,Hard Cover,-,Islam,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Psikologi/157052-Cara-Ampuh-Menjadi-Pribadi-yang-Diterima-&-Disukai.html,Rp 58.500,Rp 49.725,Cara Ampuh Menjadi Pribadi yang Diterima & Disukai,9786025469176,Anak Hebat Indonesia ,Mei - 2018,-,250 gr,Soft Cover,-,Psikologi,-,Indonesia ·
https://www.bukukita.com/katalogbukuatribut.php?atrId=2&page=1,,,,,,,,,,,,,
https://www.bukukita.com/Agama/Islam/166246-KHILAFAH:-Peran-Manusia-di-Bumi.html,Rp 80.000,Rp 68.000,KHILAFAH: Peran Manusia di Bumi (Reguler),9786237713296,Lentera Hati ,Juli - 2020,188,350 gr,Soft Cover,130x190mm,Islam,-,Indonesia ··
https://www.bukukita.com/Masakan-dan-Makanan/Makanan/166558-Masakan-Timur-Tengah-Populer-Favorit-Ala-Chef-Salimoz.html,Rp 120.000,Rp 108.000,Masakan Timur Tengah Populer Favorit Ala Chef Salimoz,9786020645384,Gramedia Pustaka Utama ,Agustus - 2020,124,200 gr,soft cover,-,Makanan,-,Indonesia ·
https://www.bukukita.com/Hobi-dan-Usaha/Musik/110442-Kumpulan-lagu-Super-Hits.html,Rp 25.000,Rp 21.250,Kumpulan lagu Super Hits,9790801878038,Laskar Aksara ,Februari - 2013,-,200 gr,Soft Cover,-,Musik,-,Indonesia ··
https://www.bukukita.com/Buku-Novel/Remaja/146942-Selestia-dan-Penjara-Teka-teki.html,Rp 59.000,Rp 50.150,Selestia dan Penjara Teka-teki [Ber-TTD asli Penulis + Free buku Bajak Laut Popcorn],9786027652828,Buah Hati ,November - 2016,254,300 gr,Soft Cover,140x210mm,Remaja,-,Indonesia ··
https://www.bukukita.com/Psikologi-dan-Pengembangan-Diri/Pengembangan-Diri/168304-Your-Job-is-Not-Your-Career-:-Your-Ultimate-Career-Guide-2022.html,Rp 91.000,Rp 77.350,Your Job is Not Your Career : Your Ultimate Career Guide 2022,9786028740890,Lentera Hati ,November - 2021,204,200 gr,soft cover,-,Pengembangan Diri,-,Indonesia ··
https://www.bukukita.com/Biografi-dan-Memoar/Biografi/95548-Marco-van-Basten-:-Era-ac-Milan-dan-Oranye.html,Rp 53.000,Rp 45.050,Marco van Basten : Era ac Milan dan Oranye,9789791541701,Pena Wormer ,Agustus - 2011,256,500 gr,Soft Cover,140x210mm,Biografi,-,Indonesia ··
